Timestamp,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
2026/05/26 02:28:11 PM,Employed,Other,36-45,Douala,"100,001-200,000",5,Always,Less than 20%,No,70923,"5,000-15,000",Fish / Meat,"Below 10,000",5,Walking,0,More than 50%,More than twice,Never,Less than 20%,56081,24977,Yes,No,4,Yes,13741,300000,Education,Uncertain,Started a small business,Currency depreciation,2024
2026/05/26 02:42:47 PM,Unemployed,Undergraduate,46-55,Kribi,"200,001-500,000",7,Sometimes,more than 60%,"Yes, only quality",160122,"More than 30,000",Fish / Meat,"10,000-20,000",4,Walking,4,26%-50%,Never,Never,More than 50%,119400,15792,I own my home,"Yes, once",3,No,23845,0,Education,Definitely no,Borrowed money,Currency depreciation,2020
2026/05/26 02:57:48 PM,Unemployed,Undergraduate,36-45,Maroua,"200,001-500,000",3,Sometimes,41-60%,"Yes, both quantity and quality",175862,"5,000-15,000",Rice,"Below 10,000",3,Private car/bike/bicycle,12,Less than 10%,Once,Rarely,More than 50%,88059,7974,I own my home,No,5,Yes,14109,150000,Food,Definitely yes,Reduced spending; Started a small business; Relocated to a cheaper area,Inflation (rising prices),2025
2026/05/26 03:04:14 PM,Self-employed,Vocational,26-35,Bafoussam,"100,001-200,000",5,Rarely,41-60%,"Yes, both quantity and quality",58573,"15001-30,000",Cooking oil,"Above 30,000",4,Walking,4,10-25%,Twice,Rarely,36-50%,54245,24508,I own my home,No,3,No,27591,150000,Education,Probably no,Started a small business,Government policies,2026
2026/05/26 03:20:09 PM,Employed,Undergraduate,46-55,Maroua,"100,001-200,000",5,Never,20-40%,"Yes, only quality",54740,"5,000-15,000",Rice,"Below 10,000",5,Bike,2,Less than 10%,More than twice,"Yes, frequently",Less than 20%,33266,3970,I own my home,"Yes, more than once",3,No,11041,150000,Healthcare,No,Borrowed money; Started a small business; Reduced spending,Government policies,2020
2026/05/26 03:35:55 PM,Student,Postgraduate,26-35,Douala,"200,001-500,000",8,Always,more than 60%,"Yes, only quantity",111480,"5,000-15,000",Plantains / Cassava,"Below 10,000",4,Public bus,11,26%-50%,Never,Never,More than 50%,113516,5169,No,"Yes, once",4,No,7318,0,Education,Definitely no,Borrowed money; Reduced spending; Relocated to a cheaper area,Inflation (rising prices),Before 2018
2026/05/26 03:48:58 PM,Student,Vocational,56 - above,Douala,"200,001-500,000",3,Rarely,41-60%,"Yes, only quality",165105,"More than 30,000",Bread,"Below 10,000",3,Walking,5,26%-50%,Never,"Yes, frequently",Less than 20%,122448,19430,I own my home,"Yes, more than once",5,Yes,7762,0,Utilities,Uncertain,Relocated to a cheaper area,Government policies,2019
2026/05/26 03:51:40 PM,Employed,Vocational,46-55,Buea,"100,001-200,000",3,Always,Less than 20%,"Yes, only quality",58601,"5,000-15,000",Onions & Tomatoes,"Above 30,000",3,Private car/bike/bicycle,13,Less than 10%,Never,"Yes, occasionally",More than 50%,0,9326,No,"Yes, more than once",5,Yes,28629,75000,Transportation,Definitely yes,Reduced spending; Started a small business; Borrowed money,Currency depreciation,Before 2018
2026/05/26 03:55:22 PM,Self-employed,Vocational,46-55,Bafoussam,"50,000-100,000",8,Always,20-40%,"Yes, only quality",27479,"5,000-15,000",Cooking oil,"Below 10,000",4,Public bus,4,26%-50%,Once,Rarely,Less than 20%,21301,15235,I own my home,"Yes, once",5,No,32482,0,Education,Probably no,Relocated to a cheaper area,Government policies,2025
2026/05/26 04:09:56 PM,Employed,Postgraduate,56 - above,Garoua,"Below 50,000",8,Sometimes,more than 60%,"Yes, only quality",15244,"15001-30,000",Rice,"10,000-20,000",5,Bike,13,Less than 10%,Twice,"Yes, frequently",More than 50%,8874,8491,Yes,"Yes, once",4,No,13170,75000,Education,No,Borrowed money; Relocated to a cheaper area; Taking a second job,Other,2019
2026/05/26 04:22:26 PM,Self-employed,Postgraduate,18-25,Maroua,"Below 50,000",3,Rarely,41-60%,"Yes, only quantity",13247,"5,000-15,000",Cooking oil,"20,001-30,000",4,Private car/bike/bicycle,3,More than 50%,Twice,"Yes, occasionally",36-50%,8164,3092,I own my home,"Yes, once",3,Yes,12661,35000,Utilities,Definitely no,Started a small business,Other,2018
2026/05/26 04:36:20 PM,Student,Postgraduate,36-45,Bafoussam,"100,001-200,000",1,Never,41-60%,"Yes, only quality",67018,"More than 30,000",Rice,"20,001-30,000",3,Private car/bike/bicycle,12,More than 50%,Twice,Never,More than 50%,34938,18944,I own my home,No,4,No,25376,0,Utilities,Definitely no,Relocated to a cheaper area,Government policies,2019
2026/05/26 04:38:21 PM,Self-employed,Vocational,56 - above,Yaounde,"Below 50,000",2,Sometimes,Less than 20%,No,14593,"More than 30,000",Onions & Tomatoes,"20,001-30,000",3,Bike,8,10-25%,Never,"Yes, occasionally",Less than 20%,11269,19119,Yes,No,5,Yes,8672,35000,Food,Definitely yes,Reduced spending,Government policies,2024
2026/05/26 04:47:22 PM,Self-employed,Undergraduate,46-55,Kribi,"Above 500,000",8,Rarely,Less than 20%,"Yes, both quantity and quality",227205,"15001-30,000",Fish / Meat,"Below 10,000",5,Walking,14,Less than 10%,Never,Rarely,36-50%,237702,18572,I own my home,"Yes, once",5,No,32798,0,Education,Probably no,Relocated to a cheaper area; Reduced spending; Started a small business,Currency depreciation,2026
2026/05/26 05:01:56 PM,Unemployed,Vocational,18-25,Douala,"200,001-500,000",6,Sometimes,more than 60%,"Yes, only quality",110724,"Less than 5,000",Rice,"Above 30,000",4,Public bus,8,More than 50%,Never,"Yes, occasionally",Less than 20%,114194,19966,I own my home,"Yes, once",5,No,10638,300000,Rent,Definitely yes,Taking a second job,Government policies,2021
2026/05/26 05:05:17 PM,Employed,Postgraduate,36-45,Bamenda,"50,000-100,000",8,Always,Less than 20%,"Yes, only quantity",27018,"5,000-15,000",Onions & Tomatoes,"10,000-20,000",3,Private car/bike/bicycle,1,26%-50%,Never,"Yes, frequently",More than 50%,28701,14027,I own my home,"Yes, more than once",4,No,26504,75000,Utilities,Definitely yes,Relocated to a cheaper area; Reduced spending,Fuel prices,2021
2026/05/26 05:08:55 PM,Student,Other,26-35,Douala,"Below 50,000",3,Rarely,Less than 20%,No,18700,"More than 30,000",Cooking oil,"Above 30,000",4,Private car/bike/bicycle,0,26%-50%,Never,Rarely,20-35%,12147,13981,I own my home,"Yes, once",4,No,31434,0,Utilities,Probably no,Borrowed money; Started a small business; Relocated to a cheaper area,Fuel prices,2026
2026/05/26 05:16:18 PM,Student,Other,18-25,Yaounde,"100,001-200,000",7,Always,more than 60%,No,64440,"5,000-15,000",Fish / Meat,"20,001-30,000",4,Public bus,7,Less than 10%,Once,"Yes, frequently",36-50%,0,24324,I own my home,"Yes, once",3,No,31471,35000,Transportation,Definitely yes,Reduced spending,Inflation (rising prices),Before 2018
2026/05/26 05:22:56 PM,Self-employed,Postgraduate,56 - above,Bamenda,"200,001-500,000",2,Always,20-40%,"Yes, only quality",176166,"Less than 5,000",Fish / Meat,"Above 30,000",3,Walking,7,Less than 10%,More than twice,Never,20-35%,0,11896,No,"Yes, more than once",4,No,20121,300000,Transportation,Uncertain,Started a small business; Borrowed money; Relocated to a cheaper area,Fuel prices,2019
2026/05/26 05:26:17 PM,Unemployed,Postgraduate,26-35,Yaounde,"Above 500,000",6,Always,41-60%,"Yes, both quantity and quality",233462,"More than 30,000",Fish / Meat,"Below 10,000",3,Private car/bike/bicycle,5,10-25%,Never,"Yes, occasionally",20-35%,235040,21893,No,"Yes, once",3,Yes,34183,0,Education,Probably no,Relocated to a cheaper area; Started a small business,Other,2025
2026/05/26 05:27:35 PM,Student,Postgraduate,26-35,Buea,"Below 50,000",6,Never,20-40%,"Yes, both quantity and quality",12528,"Less than 5,000",Onions & Tomatoes,"10,000-20,000",3,Public bus,12,Less than 10%,More than twice,"Yes, occasionally",More than 50%,9606,8395,I own my home,"Yes, more than once",3,Yes,31932,75000,Utilities,Definitely yes,Relocated to a cheaper area; Started a small business; Reduced spending,Other,2020
2026/05/26 05:30:21 PM,Student,Vocational,26-35,Yaounde,"100,001-200,000",3,Never,20-40%,"Yes, only quality",68282,"5,000-15,000",Fish / Meat,"20,001-30,000",5,Bike,6,More than 50%,Never,"Yes, occasionally",More than 50%,52358,12313,I own my home,"Yes, once",3,No,16075,35000,Utilities,Probably no,Started a small business; Borrowed money,Other,Before 2018
2026/05/26 05:42:47 PM,Unemployed,Vocational,46-55,Maroua,"Below 50,000",2,Never,more than 60%,"Yes, only quantity",21136,"More than 30,000",Rice,"Above 30,000",4,Public bus,6,More than 50%,More than twice,"Yes, occasionally",Less than 20%,8972,17361,I own my home,"Yes, once",3,Yes,6865,75000,Education,Definitely yes,Borrowed money,Currency depreciation,2019
2026/05/26 05:49:49 PM,Employed,Undergraduate,36-45,Maroua,"Above 500,000",3,Rarely,41-60%,"Yes, only quality",257478,"15001-30,000",Rice,"20,001-30,000",4,Private car/bike/bicycle,5,More than 50%,Twice,"Yes, occasionally",36-50%,233457,16501,Yes,No,3,Yes,18284,35000,Utilities,Probably no,Borrowed money; Taking a second job; Relocated to a cheaper area,Government policies,2018
