Respondent_ID,Q1_Employment_Status,Q2_Highest_Education,Q3_Age_Group,Q4_City_Residence,Q5_Monthly_Household_Income_XAF,Q6_Household_Size_Supported,Q7_Bulk_Food_Frequency,Q8_Percentage_Income_To_Food,Q9_Reduced_Food_Quality_Quantity,Q10_Monthly_Food_Spend_XAF_Numeric,Q11_Estimated_5Yr_Food_Bill_Increase,Q12_Most_Dramatic_Increased_Food_Item,Q13_Monthly_Transport_Spend,Q14_Fuel_Prices_Impact_Scale_1_5,Q15_Primary_Transportation_Mode,Q16_Paid_Transport_Trips_Per_Week,Q17_Estimated_5Yr_Transport_Fare_Increase_Percent,Q18_Times_Moved_Due_To_Rent,Q19_Power_Cuts_Extra_Spend,Q20_Percentage_Income_To_Rent,Q21_Monthly_Rent_XAF_Numeric,Q22_Monthly_Utilities_Combined_XAF_Numeric,Q23_Rent_Increased_Last_2_Years,Q24_Skipped_Medical_Treatment_Cost,Q25_Schooling_Cost_Increased_Scale_1_5,Q26_Has_Health_Insurance,Q27_Average_Monthly_Healthcare_Spend_XAF_Numeric,Q28_School_Fees_Per_Child_XAF_Numeric,Q29_Highest_Burden_Expenditure_Category,Q30_Expect_Cost_Of_Living_Increase_5Yrs,Q31_Taken_Measures_To_Cope,Q32_Primary_Contributor_To_Cost_Of_Living,Q33_Year_Noticeable_Impact
RESP_0011,Employed,Vocational,56 - above,Bamenda,"200,001-500,000",4,Rarely,Less than 20%,"Yes, only quality",130779,"Less than 5,000",Bread,"Above 30,000",4,Public bus,6,Less than 10%,More than twice,"Yes, frequently",20-35%,109602,6130,Yes,"Yes, once",5,No,23532,0,Rent,No,Reduced spending,Government policies,2018
RESP_0012,Student,Vocational,26-35,Bafoussam,"50,000-100,000",6,Always,Less than 20%,"Yes, only quantity",22757,"5,000-15,000",Onions & Tomatoes,"10,000-20,000",3,Public bus,3,Less than 10%,Once,Rarely,20-35%,25002,20567,No,No,4,Yes,21230,150000,Food,Definitely no,Borrowed money; Relocated to a cheaper area,Inflation (rising prices),2022
RESP_0013,Student,Other,26-35,Garoua,"100,001-200,000",4,Sometimes,Less than 20%,No,71562,"Less than 5,000",Bread,"Below 10,000",3,Public bus,3,26%-50%,More than twice,Never,36-50%,36819,23688,No,No,5,No,23005,75000,Utilities,Definitely yes,Relocated to a cheaper area; Borrowed money,Fuel prices,2022
RESP_0014,Employed,Undergraduate,56 - above,Maroua,"Above 500,000",7,Rarely,Less than 20%,"Yes, only quantity",292462,"15001-30,000",Plantains / Cassava,"20,001-30,000",3,Public bus,7,Less than 10%,Never,Never,20-35%,216809,19613,Yes,"Yes, once",5,Yes,14790,35000,Transportation,Probably yes,Taking a second job; Borrowed money,Fuel prices,2021
RESP_0015,Student,Other,18-25,Yaoundé,"Above 500,000",6,Sometimes,Less than 20%,"Yes, only quantity",207811,"Less than 5,000",Onions & Tomatoes,"20,001-30,000",3,Private car/bike/bicycle,2,10-25%,Twice,"Yes, occasionally",Less than 20%,185755,19321,Yes,No,5,Yes,31099,0,Rent,Uncertain,Reduced spending; Started a small business; Taking a second job,Government policies,Before 2018
RESP_0016,Employed,Vocational,56 - above,Kribi,"Above 500,000",6,Rarely,20-40%,No,209041,"15001-30,000",Onions & Tomatoes,"10,000-20,000",5,Bike,9,26%-50%,Twice,Never,20-35%,192274,7890,Yes,No,4,Yes,20702,0,Education,No,Relocated to a cheaper area; Taking a second job,Other,2022
RESP_0017,Student,Vocational,18-25,Buea,"Below 50,000",5,Always,20-40%,"Yes, both quantity and quality",17753,"15001-30,000",Onions & Tomatoes,"Above 30,000",4,Public bus,13,More than 50%,Once,"Yes, occasionally",Less than 20%,9784,24076,No,"Yes, more than once",4,Yes,26728,75000,Education,Uncertain,Borrowed money; Taking a second job,Inflation (rising prices),2025
RESP_0018,Student,Postgraduate,26-35,Garoua,"200,001-500,000",2,Sometimes,20-40%,No,131666,"15001-30,000",Onions & Tomatoes,"20,001-30,000",5,Public bus,14,26%-50%,Never,Rarely,36-50%,115361,5885,No,No,5,No,2875,0,Education,Probably no,Relocated to a cheaper area,Currency depreciation,2020
RESP_0019,Unemployment,Undergraduate,36-45,Garoua,"100,001-200,000",5,Sometimes,20-40%,No,75631,"Less than 5,000",Rice,"20,001-30,000",3,Private car/bike/bicycle,10,More than 50%,Twice,"Yes, frequently",36-50%,0,3308,Yes,"Yes, more than once",5,No,15655,0,Food,Probably no,Started a small business; Reduced spending; Taking a second job,Currency depreciation,2024
RESP_0020,Student,Vocational,56 - above,Douala,"200,001-500,000",5,Always,more than 60%,No,180010,"Less than 5,000",Onions & Tomatoes,"Below 10,000",3,Bike,6,26%-50%,Twice,"Yes, occasionally",36-50%,107179,18483,I own my home,"Yes, more than once",4,Yes,34444,75000,Utilities,Uncertain,Taking a second job,Government policies,2020
RESP_0021,Unemployment,Vocational,56 - above,Maroua,"Below 50,000",1,Sometimes,20-40%,No,18039,"Less than 5,000",Onions & Tomatoes,"Below 10,000",4,Bike,3,Less than 10%,More than twice,Never,More than 50%,0,4382,Yes,"Yes, once",3,Yes,5577,75000,Education,Probably no,Taking a second job; Relocated to a cheaper area,Fuel prices,2020
RESP_0022,Employed,Undergraduate,56 - above,Garoua,"Above 500,000",8,Never,more than 60%,"Yes, only quantity",301100,"More than 30,000",Onions & Tomatoes,"10,000-20,000",3,Walking,4,Less than 10%,More than twice,"Yes, frequently",20-35%,176163,6914,No,No,3,Yes,19314,150000,Rent,Uncertain,Taking a second job; Borrowed money,Government policies,2023
RESP_0023,Unemployment,Postgraduate,56 - above,Maroua,"100,001-200,000",8,Never,41-60%,No,47967,"15001-30,000",Onions & Tomatoes,"Below 10,000",5,Public bus,10,Less than 10%,Once,Rarely,Less than 20%,39677,12552,No,"Yes, more than once",3,No,19613,75000,Healthcare,Definitely no,Relocated to a cheaper area,Inflation (rising prices),2020
RESP_0024,Unemployment,Undergraduate,26-35,Bamenda,"Below 50,000",3,Always,more than 60%,"Yes, both quantity and quality",14413,"More than 30,000",Fish / Meat,"Above 30,000",3,Bike,5,10-25%,Never,Never,36-50%,0,16936,I own my home,"Yes, more than once",5,No,28753,300000,Transportation,Definitely no,Taking a second job; Reduced spending; Relocated to a cheaper area,Other,2019
RESP_0025,Self-employed,Vocational,56 - above,Kribi,"Below 50,000",6,Sometimes,20-40%,"Yes, only quality",12885,"Less than 5,000",Onions & Tomatoes,"10,000-20,000",3,Bike,13,Less than 10%,Never,"Yes, occasionally",20-35%,14641,13101,I own my home,"Yes, once",4,No,6776,150000,Education,Probably no,Relocated to a cheaper area,Currency depreciation,2020
RESP_0026,Self-employed,Undergraduate,26-35,Maroua,"Below 50,000",8,Never,Less than 20%,"Yes, only quality",19152,"15001-30,000",Onions & Tomatoes,"Below 10,000",4,Walking,5,Less than 10%,Twice,Rarely,36-50%,9437,8451,No,"Yes, once",5,Yes,2248,0,Education,Uncertain,Relocated to a cheaper area; Borrowed money; Reduced spending,Fuel prices,2020
RESP_0027,Unemployment,Vocational,18-25,Bamenda,"100,001-200,000",4,Never,more than 60%,"Yes, only quantity",81868,"5,000-15,000",Bread,"Below 10,000",3,Walking,1,10-25%,More than twice,Never,More than 50%,54904,23612,I own my home,No,5,No,13308,300000,Rent,Definitely no,Started a small business,Currency depreciation,2025
RESP_0028,Unemployment,Other,18-25,Bamenda,"Below 50,000",7,Never,20-40%,"Yes, only quantity",14289,"More than 30,000",Plantains / Cassava,"Above 30,000",5,Private car/bike/bicycle,14,10-25%,Once,"Yes, occasionally",20-35%,14609,4592,Yes,"Yes, once",3,Yes,6180,75000,Utilities,Definitely no,Borrowed money; Reduced spending; Taking a second job,Other,Before 2018
RESP_0029,Self-employed,Undergraduate,18-25,Bafoussam,"100,001-200,000",7,Never,41-60%,"Yes, both quantity and quality",48988,"Less than 5,000",Onions & Tomatoes,"Above 30,000",4,Public bus,11,26%-50%,Once,"Yes, frequently",20-35%,33011,4921,No,No,3,No,29823,75000,Transportation,No,Borrowed money; Relocated to a cheaper area; Started a small business,Currency depreciation,Before 2018
RESP_0030,Unemployment,Postgraduate,46-55,Yaoundé,"Above 500,000",7,Sometimes,more than 60%,"Yes, only quality",339465,"Less than 5,000",Plantains / Cassava,"20,001-30,000",3,Private car/bike/bicycle,10,10-25%,More than twice,Never,Less than 20%,0,6749,I own my home,"Yes, more than once",4,Yes,10308,150000,Food,Probably yes,Relocated to a cheaper area; Borrowed money,Fuel prices,Before 2018
RESP_0031,Employed,Postgraduate,18-25,Garoua,"50,000-100,000",7,Always,more than 60%,"Yes, only quality",36142,"Less than 5,000",Fish / Meat,"20,001-30,000",4,Private car/bike/bicycle,9,10-25%,More than twice,Rarely,36-50%,27447,7931,No,"Yes, once",3,Yes,24652,0,Education,Probably no,Borrowed money,Other,2018
RESP_0032,Employed,Undergraduate,36-45,Maroua,"50,000-100,000",2,Rarely,Less than 20%,"Yes, both quantity and quality",27024,"5,000-15,000",Onions & Tomatoes,"Below 10,000",4,Private car/bike/bicycle,13,10-25%,Twice,Never,More than 50%,0,20802,I own my home,No,5,Yes,5987,150000,Education,Definitely no,Borrowed money; Reduced spending; Started a small business,Currency depreciation,2024
RESP_0033,Employed,Postgraduate,56 - above,Bafoussam,"Above 500,000",7,Rarely,41-60%,"Yes, only quality",352096,"15001-30,000",Onions & Tomatoes,"10,000-20,000",4,Private car/bike/bicycle,6,10-25%,Twice,"Yes, frequently",More than 50%,0,16784,I own my home,"Yes, once",3,Yes,24763,35000,Transportation,Probably yes,Relocated to a cheaper area,Government policies,2023
RESP_0034,Unemployment,Vocational,46-55,Bamenda,"Below 50,000",1,Always,more than 60%,No,13184,"5,000-15,000",Onions & Tomatoes,"20,001-30,000",5,Bike,3,More than 50%,More than twice,"Yes, occasionally",More than 50%,15709,24194,No,"Yes, once",4,No,17309,300000,Education,Uncertain,Started a small business; Taking a second job,Other,2019
RESP_0035,Self-employed,Vocational,36-45,Kribi,"Below 50,000",4,Rarely,more than 60%,No,21683,"5,000-15,000",Fish / Meat,"20,001-30,000",5,Public bus,2,Less than 10%,Never,Rarely,More than 50%,9217,20891,No,No,3,Yes,29631,35000,Healthcare,Probably yes,Taking a second job,Other,2019
RESP_0036,Self-employed,Vocational,26-35,Bafoussam,"Below 50,000",4,Sometimes,more than 60%,"Yes, only quality",18542,"15001-30,000",Cooking oil,"20,001-30,000",4,Bike,0,10-25%,Never,Never,20-35%,11031,7995,Yes,"Yes, once",3,No,18752,0,Food,No,Reduced spending; Borrowed money,Government policies,2019
RESP_0037,Unemployment,Postgraduate,26-35,Douala,"Below 50,000",2,Sometimes,41-60%,"Yes, both quantity and quality",16470,"Less than 5,000",Rice,"Above 30,000",4,Public bus,5,26%-50%,Twice,"Yes, occasionally",Less than 20%,11301,7040,I own my home,"Yes, once",4,No,9372,300000,Education,Probably yes,Reduced spending,Government policies,2024
RESP_0038,Unemployment,Undergraduate,18-25,Bamenda,"Below 50,000",2,Rarely,more than 60%,"Yes, only quantity",15858,"5,000-15,000",Bread,"10,000-20,000",5,Private car/bike/bicycle,6,26%-50%,Twice,"Yes, frequently",Less than 20%,15946,21305,I own my home,"Yes, more than once",3,No,30341,35000,Food,Definitely no,Borrowed money,Fuel prices,2020
RESP_0039,Employed,Undergraduate,36-45,Kribi,"50,000-100,000",1,Never,Less than 20%,No,40507,"15001-30,000",Cooking oil,"10,000-20,000",3,Private car/bike/bicycle,13,Less than 10%,Once,Never,36-50%,18081,15159,No,"Yes, once",5,No,14091,35000,Transportation,Probably yes,Started a small business; Relocated to a cheaper area,Government policies,2023
RESP_0040,Employed,Other,36-45,Yaoundé,"100,001-200,000",8,Always,41-60%,"Yes, both quantity and quality",70955,"Less than 5,000",Onions & Tomatoes,"20,001-30,000",5,Walking,11,More than 50%,More than twice,Rarely,More than 50%,0,14397,I own my home,No,4,Yes,5529,75000,Healthcare,Definitely no,Relocated to a cheaper area; Taking a second job,Other,2025
RESP_0041,Student,Postgraduate,46-55,Kribi,"Above 500,000",3,Always,20-40%,"Yes, only quality",320243,"15001-30,000",Onions & Tomatoes,"Above 30,000",4,Private car/bike/bicycle,9,More than 50%,Never,"Yes, occasionally",20-35%,215061,3978,I own my home,No,3,Yes,32204,150000,Healthcare,Definitely yes,Taking a second job; Reduced spending,Fuel prices,2020
RESP_0042,Self-employed,Vocational,56 - above,Bafoussam,"200,001-500,000",3,Sometimes,41-60%,"Yes, only quantity",111849,"More than 30,000",Rice,"20,001-30,000",3,Bike,7,More than 50%,More than twice,Rarely,20-35%,72419,16683,Yes,"Yes, more than once",4,Yes,33715,35000,Education,Definitely yes,Reduced spending; Borrowed money,Fuel prices,2023
RESP_0043,Student,Vocational,18-25,Garoua,"50,000-100,000",1,Never,41-60%,"Yes, only quality",38033,"More than 30,000",Fish / Meat,"10,000-20,000",3,Public bus,10,26%-50%,More than twice,Rarely,20-35%,23034,5041,I own my home,No,5,No,28354,35000,Healthcare,Probably no,Started a small business,Other,2026
RESP_0044,Employed,Postgraduate,18-25,Douala,"50,000-100,000",7,Sometimes,20-40%,"Yes, both quantity and quality",34490,"5,000-15,000",Bread,"10,000-20,000",4,Private car/bike/bicycle,1,More than 50%,More than twice,"Yes, occasionally",More than 50%,0,22533,I own my home,No,4,Yes,14816,35000,Rent,Definitely yes,Reduced spending; Relocated to a cheaper area; Taking a second job,Inflation (rising prices),2021
RESP_0045,Student,Postgraduate,26-35,Maroua,"Below 50,000",3,Rarely,Less than 20%,"Yes, only quantity",21716,"Less than 5,000",Bread,"Above 30,000",3,Private car/bike/bicycle,5,26%-50%,Twice,Rarely,More than 50%,10896,5201,Yes,No,4,No,31867,35000,Education,Definitely yes,Reduced spending; Relocated to a cheaper area; Taking a second job,Fuel prices,2026
RESP_0046,Employed,Postgraduate,18-25,Bafoussam,"200,001-500,000",8,Never,20-40%,"Yes, only quality",171068,"5,000-15,000",Cooking oil,"Above 30,000",5,Public bus,1,More than 50%,More than twice,Never,20-35%,137081,11902,Yes,"Yes, more than once",4,No,29131,0,Healthcare,Definitely yes,Taking a second job; Borrowed money; Started a small business,Currency depreciation,2020
RESP_0047,Self-employed,Postgraduate,46-55,Bafoussam,"Below 50,000",7,Sometimes,41-60%,No,14636,"5,000-15,000",Rice,"Below 10,000",4,Public bus,5,10-25%,More than twice,Never,36-50%,13248,4298,Yes,No,3,No,31318,150000,Food,Uncertain,Started a small business; Taking a second job; Reduced spending,Currency depreciation,2018
RESP_0048,Student,Postgraduate,26-35,Buea,"200,001-500,000",7,Rarely,Less than 20%,"Yes, only quantity",128435,"15001-30,000",Bread,"20,001-30,000",3,Bike,7,Less than 10%,More than twice,"Yes, occasionally",20-35%,84454,6724,I own my home,"Yes, once",3,Yes,24241,75000,Healthcare,Probably no,Relocated to a cheaper area; Taking a second job,Currency depreciation,2020
RESP_0049,Self-employed,Other,18-25,Douala,"50,000-100,000",3,Never,41-60%,"Yes, only quality",37147,"Less than 5,000",Cooking oil,"20,001-30,000",3,Bike,14,Less than 10%,Never,Rarely,Less than 20%,28779,20788,I own my home,"Yes, more than once",3,No,31840,35000,Education,Probably no,Started a small business; Borrowed money,Currency depreciation,2023
RESP_0050,Unemployment,Postgraduate,18-25,Garoua,"100,001-200,000",1,Sometimes,Less than 20%,"Yes, only quantity",63586,"More than 30,000",Plantains / Cassava,"10,000-20,000",3,Public bus,13,More than 50%,More than twice,"Yes, frequently",36-50%,0,23052,I own my home,No,5,No,12748,150000,Education,No,Relocated to a cheaper area,Other,2022
RESP_0051,Self-employed,Vocational,56 - above,Douala,"200,001-500,000",2,Sometimes,more than 60%,No,121600,"More than 30,000",Bread,"Above 30,000",4,Public bus,12,10-25%,Twice,"Yes, frequently",More than 50%,111841,22261,I own my home,No,5,Yes,32056,150000,Food,No,Relocated to a cheaper area; Taking a second job,Currency depreciation,Before 2018
RESP_0052,Employed,Other,56 - above,Bamenda,"Below 50,000",2,Always,41-60%,"Yes, only quantity",13519,"15001-30,000",Rice,"Below 10,000",3,Private car/bike/bicycle,9,Less than 10%,Twice,Rarely,More than 50%,13441,10849,I own my home,"Yes, more than once",3,No,29771,0,Food,Uncertain,Relocated to a cheaper area,Inflation (rising prices),Before 2018
RESP_0053,Unemployment,Vocational,36-45,Garoua,"100,001-200,000",8,Sometimes,more than 60%,"Yes, both quantity and quality",80951,"Less than 5,000",Rice,"10,000-20,000",4,Public bus,14,More than 50%,Once,"Yes, frequently",More than 50%,43894,10979,Yes,"Yes, once",3,Yes,17322,300000,Rent,No,Relocated to a cheaper area,Other,Before 2018
RESP_0054,Student,Vocational,18-25,Yaoundé,"200,001-500,000",2,Always,Less than 20%,"Yes, only quality",142467,"Less than 5,000",Bread,"20,001-30,000",5,Public bus,7,26%-50%,More than twice,Never,Less than 20%,114260,4236,No,No,3,Yes,7622,75000,Healthcare,Uncertain,Relocated to a cheaper area; Borrowed money; Started a small business,Government policies,Before 2018
RESP_0055,Unemployment,Vocational,36-45,Maroua,"50,000-100,000",8,Sometimes,more than 60%,"Yes, both quantity and quality",32479,"5,000-15,000",Bread,"10,000-20,000",3,Private car/bike/bicycle,9,10-25%,Never,Rarely,36-50%,22528,16407,No,No,4,Yes,31656,35000,Healthcare,Probably yes,Relocated to a cheaper area; Borrowed money; Reduced spending,Inflation (rising prices),2023
RESP_0056,Student,Vocational,46-55,Kribi,"Below 50,000",6,Always,41-60%,"Yes, both quantity and quality",18252,"More than 30,000",Rice,"Above 30,000",4,Walking,7,Less than 10%,Once,"Yes, occasionally",More than 50%,14011,14721,No,No,5,Yes,14925,0,Food,Probably yes,Started a small business; Borrowed money; Taking a second job,Government policies,2019
RESP_0057,Unemployment,Undergraduate,26-35,Yaoundé,"50,000-100,000",2,Always,Less than 20%,No,37460,"More than 30,000",Rice,"20,001-30,000",3,Public bus,8,10-25%,More than twice,"Yes, frequently",36-50%,27203,9872,I own my home,"Yes, once",4,Yes,25779,300000,Transportation,Definitely no,Reduced spending; Started a small business,Fuel prices,2020
RESP_0058,Student,Postgraduate,46-55,Bamenda,"100,001-200,000",7,Rarely,20-40%,"Yes, only quantity",76969,"5,000-15,000",Bread,"Above 30,000",5,Public bus,3,Less than 10%,Twice,Never,20-35%,53888,9994,I own my home,"Yes, once",3,Yes,33351,35000,Transportation,Probably no,Borrowed money; Reduced spending; Started a small business,Inflation (rising prices),2018
RESP_0059,Student,Vocational,46-55,Buea,"Below 50,000",5,Sometimes,more than 60%,"Yes, only quality",12740,"5,000-15,000",Cooking oil,"Below 10,000",4,Public bus,5,More than 50%,Never,Rarely,20-35%,11000,3187,I own my home,"Yes, once",4,No,21323,35000,Utilities,Definitely no,Taking a second job; Relocated to a cheaper area,Fuel prices,2021
RESP_0060,Employed,Vocational,56 - above,Maroua,"Above 500,000",2,Always,more than 60%,"Yes, only quality",233415,"More than 30,000",Rice,"Below 10,000",4,Private car/bike/bicycle,12,Less than 10%,More than twice,"Yes, frequently",Less than 20%,235181,7541,No,No,5,Yes,23831,35000,Transportation,Probably no,Started a small business; Relocated to a cheaper area,Currency depreciation,2026
RESP_0061,Self-employed,Postgraduate,46-55,Kribi,"Above 500,000",7,Rarely,20-40%,"Yes, both quantity and quality",308902,"More than 30,000",Onions & Tomatoes,"20,001-30,000",3,Public bus,4,10-25%,More than twice,"Yes, occasionally",Less than 20%,218734,14087,No,"Yes, more than once",3,Yes,29017,300000,Rent,No,Borrowed money; Reduced spending; Relocated to a cheaper area,Other,2022
RESP_0062,Unemployment,Other,18-25,Maroua,"Above 500,000",8,Sometimes,41-60%,"Yes, only quantity",198093,"More than 30,000",Bread,"20,001-30,000",3,Private car/bike/bicycle,10,10-25%,Never,Rarely,More than 50%,131195,10944,No,"Yes, once",5,Yes,15945,75000,Food,Uncertain,Relocated to a cheaper area,Inflation (rising prices),2021
RESP_0063,Self-employed,Undergraduate,46-55,Yaoundé,"100,001-200,000",8,Rarely,41-60%,"Yes, only quality",45219,"More than 30,000",Plantains / Cassava,"Above 30,000",3,Walking,7,10-25%,More than twice,Never,Less than 20%,37867,22970,Yes,"Yes, more than once",4,No,27043,150000,Healthcare,Definitely yes,Reduced spending; Started a small business; Borrowed money,Fuel prices,2018
RESP_0064,Unemployment,Other,56 - above,Buea,"100,001-200,000",7,Rarely,more than 60%,"Yes, only quantity",51428,"More than 30,000",Bread,"20,001-30,000",5,Public bus,12,More than 50%,Never,"Yes, frequently",20-35%,56226,20351,Yes,No,3,No,11170,35000,Transportation,Definitely no,Taking a second job; Reduced spending; Relocated to a cheaper area,Government policies,2019
RESP_0065,Student,Undergraduate,18-25,Douala,"200,001-500,000",6,Rarely,more than 60%,"Yes, only quality",167319,"More than 30,000",Fish / Meat,"Below 10,000",4,Private car/bike/bicycle,2,10-25%,Once,"Yes, occasionally",Less than 20%,0,15295,I own my home,No,3,Yes,3337,0,Food,Uncertain,Borrowed money; Taking a second job; Started a small business,Currency depreciation,2024
RESP_0066,Student,Other,46-55,Buea,"Below 50,000",2,Never,20-40%,"Yes, only quantity",19751,"Less than 5,000",Cooking oil,"10,000-20,000",4,Bike,1,10-25%,Never,"Yes, occasionally",More than 50%,10238,7013,I own my home,"Yes, once",5,Yes,13664,300000,Food,Probably yes,Relocated to a cheaper area; Started a small business; Borrowed money,Fuel prices,2024
RESP_0067,Student,Other,46-55,Bafoussam,"Below 50,000",3,Always,41-60%,No,14192,"15001-30,000",Bread,"Below 10,000",4,Walking,7,10-25%,Once,"Yes, occasionally",36-50%,9867,9097,Yes,No,5,No,33418,35000,Healthcare,Probably no,Reduced spending,Fuel prices,2023
RESP_0068,Unemployment,Postgraduate,26-35,Bafoussam,"50,000-100,000",5,Always,20-40%,"Yes, both quantity and quality",36564,"5,000-15,000",Fish / Meat,"20,001-30,000",5,Public bus,14,26%-50%,Once,Never,More than 50%,27935,23339,Yes,"Yes, once",4,Yes,32806,150000,Utilities,Definitely yes,Reduced spending; Started a small business,Fuel prices,2025
RESP_0069,Employed,Vocational,26-35,Bamenda,"Above 500,000",3,Sometimes,Less than 20%,"Yes, both quantity and quality",292406,"More than 30,000",Fish / Meat,"10,000-20,000",5,Private car/bike/bicycle,5,Less than 10%,Twice,"Yes, frequently",36-50%,156395,17724,No,No,3,No,23855,0,Food,Probably no,Taking a second job,Inflation (rising prices),2023
RESP_0070,Employed,Other,46-55,Bamenda,"50,000-100,000",8,Rarely,41-60%,"Yes, only quantity",36029,"Less than 5,000",Cooking oil,"Above 30,000",5,Public bus,9,Less than 10%,Never,"Yes, occasionally",More than 50%,19883,7621,I own my home,"Yes, more than once",4,No,30550,35000,Food,No,Borrowed money; Reduced spending,Fuel prices,2018
